record_id,journal_name,pub_year,subject_terms,cluster_id
88747,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2015,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",3
88748,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2016,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",6
88749,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2016,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88750,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2016,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88751,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2016,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88752,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2017,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88753,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2017,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88754,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2017,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88755,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2017,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",6
88756,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2018,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88757,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2018,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88758,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2018,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88759,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2018,"Humanities, Multidisciplinary,Computer Science, Interdisciplinary Applications,Arts & Humanities - Other Topics,Computer Science",0
88760,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2006,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88761,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2006,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88762,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2007,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",0
88763,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2007,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88764,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2007,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",0
88765,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2007,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",7
88766,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2008,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88767,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2008,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88768,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2008,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",7
88769,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2008,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88770,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2009,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",7
88771,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2009,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88772,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2009,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",5
88773,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2009,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88774,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2010,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88775,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2010,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",4
88776,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2010,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",6
88777,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2010,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",0
88778,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2011,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88779,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2011,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88780,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2011,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88781,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2011,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88782,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2012,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88783,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2012,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88784,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2012,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88785,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2012,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",4
88786,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2013,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88787,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2013,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88788,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2013,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88789,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2013,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88790,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2014,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",0
88791,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2014,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",6
88792,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2014,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88793,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2014,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
